station_id,station_name,address,city,state,latitude,longitude,price
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,40.116656,-87.7825,3.399
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,40.116656,-87.7825,3.499
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,40.116656,-87.7825,3.599
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,39.567684,-89.654654,3.499
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,39.790204,-85.814102,3.959
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,39.790204,-85.814102,3.959
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,39.806029,-85.526148,3.759
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,30.096636,-97.497602,3.199
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,39.50434,-85.787515,3.599
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,39.4667,-87.4068,3.43566666
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,41.475661,-87.075866,3.869
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,41.475661,-87.075866,3.859
1163,SHORT STOP #13,US-54,Emporia,KS,38.418405,-96.187145,2.839
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,38.211712,-84.556179,3.20566666
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,37.851054,-85.724641,3.609
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,30.858658,-91.392266,3.384
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,42.52744,-71.756308,3.68233333
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,39.564894,-76.059227,3.599
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,39.121727,-88.561105,3.549
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,39.121727,-88.561105,3.349
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,39.121727,-88.561105,3.439
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,39.121727,-88.561105,3.399
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,42.273565,-85.545653,3.499
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,42.273565,-85.545653,3.099
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,42.234931,-85.900488,3.599
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,42.234931,-85.900488,3.559
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,43.669538,-92.978374,3.374
1218,CASEYS #3658,SR-210,Pillager,MN,46.398395,-94.392287,3.299
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,39.334639,-91.196232,3.01566666
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,37.500221,-94.270253,3.199
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,39.791309,-91.536817,3.01566666
1240,TEMP STOP #103,US-65,Sedalia,MO,38.696076,-93.232268,3.199
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,36.728418,-91.871681,3.299
1251,MAPCO #3009,US-72,Corinth,MS,34.93236,-88.543884,3.154
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,33.378737,-91.046793,3.25566666
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,34.875039,-89.519839,2.97233333
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,36.097862,-79.271895,3.94733333
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,35.464148,-79.176446,3.08233333
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,34.225304,-77.937856,3.629
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,35.727022,-77.922733,3.199
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,40.921858,-98.341062,3.30733333
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,40.143141,-74.703249,3.499
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,40.882178,-74.296027,3.20233333
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,41.074473,-74.155974,3.53233333
1348,GLOBAL,SR-73,Palmyra,NJ,40.003654,-75.025685,3.359
1356,LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,35.169722,-107.890278,3.59066666
1364,7- ELEVEN #40507,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,41.72286,-86.584092,3.98233333
